,st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
128,33,1976,New Hampshire,NH,340,148,186,0.5568862557411194,0.443113774061203,17247.96875,1.7247968912124634
129,34,1976,New Jersey,NJ,3014,1445,1510,0.5109983086585999,0.48900169134140015,21243.54296875,2.124354362487793
130,35,1976,New Mexico,NM,417,201,211,0.512135922908783,0.48786407709121704,15229.501953125,1.5229501724243164
131,36,1976,New York,NY,6525,3390,3101,0.4777384102344513,0.5222616195678711,20603.810546875,2.0603809356689453
132,37,1976,North Carolina,NC,1678,927,742,0.4445776045322418,0.5554224252700806,15383.9208984375,1.5383920669555664
133,38,1976,North Dakota,ND,297,136,153,0.529411792755127,0.47058823704719543,17049.431640625,1.7049431800842285
134,39,1976,Ohio,OH,4112,2012,2001,0.49862945079803467,0.5013705492019653,18612.916015625,1.8612916469573975
135,40,1976,Oklahoma,OK,1092,532,546,0.5064935088157654,0.4935064911842346,16484.150390625,1.6484150886535645
136,41,1976,Oregon,OR,1030,490,492,0.5010183453559875,0.49898168444633484,19034.810546875,1.9034810066223145
137,42,1976,Pennsylvania,PA,4621,2329,2206,0.4864388108253479,0.5135611891746521,18748.033203125,1.8748033046722412
138,44,1976,Rhode Island,RI,411,228,181,0.44254279136657715,0.5574572086334229,17669.86328125,1.76698637008667
139,45,1976,South Carolina,SC,803,451,346,0.4341279864311218,0.5658720135688782,14493.2578125,1.4493257999420166
140,46,1976,South Dakota,SD,301,147,152,0.5083612203598022,0.49163880944252014,15403.22265625,1.5403223037719727
141,47,1976,Tennessee,TN,1476,826,634,0.43424656987190247,0.5657534003257751,15353.587890625,1.5353587865829468
142,48,1976,Texas,TX,4072,2082,1953,0.4840148687362671,0.5159851312637329,17523.716796875,1.7523716688156128
143,49,1976,Utah,UT,541,182,338,0.6499999761581421,0.3499999940395355,15883.0224609375,1.5883022546768188
144,50,1976,Vermont,VT,188,81,102,0.5573770403862,0.44262295961380005,15833.3876953125,1.583338737487793
145,51,1976,Virginia,VA,1697,814,837,0.5069654583930969,0.4930345118045807,18061.423828125,1.8061423301696777
146,53,1976,Washington,WA,1556,717,778,0.5204013586044312,0.47959867119789124,19782.083984375,1.9782084226608276
147,54,1976,West Virginia,WV,751,436,315,0.41944074630737305,0.580559253692627,15080.5986328125,1.5080598592758179
148,55,1976,Wisconsin,WI,2101,1040,1005,0.4914425313472748,0.5085574388504028,18408.86328125,1.8408863544464111
149,56,1976,Wyoming,WY,156,62,93,0.6000000238418579,0.4000000059604645,19919.95703125,1.9919956922531128
150,1,1980,Alabama,AL,1342,637,654,0.5065840482711792,0.4934159517288208,14920.732421875,1.4920732975006104
151,2,1980,Alaska,AK,158,42,86,0.671875,0.328125,28306.740234375,2.830673933029175
152,4,1980,Arizona,AZ,874,247,530,0.6821106672286987,0.31788933277130127,18134.8984375,1.8134897947311401
153,5,1980,Arkansas,AR,838,398,403,0.5031210780143738,0.49687889218330383,14326.6455078125,1.4326645135879517
154,6,1980,California,CA,8587,3084,4525,0.5946905016899109,0.4053094983100891,22756.212890625,2.275621175765991
155,8,1980,Colorado,CO,1184,368,652,0.6392157077789307,0.3607843220233917,20461.740234375,2.0461740493774414
156,9,1980,Connecticut,CT,1406,542,677,0.5553732514381409,0.44462674856185913,23529.287109375,2.352928638458252
157,10,1980,Delaware,DE,236,106,111,0.5115207433700562,0.48847925662994385,20465.548828125,2.0465548038482666
158,12,1980,Florida,FL,3687,1419,2047,0.5905943512916565,0.4094056487083435,18913.685546875,1.8913685083389282
159,13,1980,Georgia,GA,1597,891,654,0.42330098152160645,0.5766990184783936,16032.7421875,1.6032742261886597
160,15,1980,Hawaii,HI,303,136,130,0.4887218177318573,0.5112782120704651,21788.916015625,2.178891658782959
161,16,1980,Idaho,ID,437,110,291,0.7256857752799988,0.2743142247200012,16466.8828125,1.6466882228851318
162,17,1980,Illinois,IL,4750,1981,2358,0.5434432029724121,0.4565567970275879,20954.908203125,2.0954909324645996
163,18,1980,Indiana,IN,2242,844,1256,0.5980952382087708,0.40190476179122925,17849.279296875,1.7849279642105103
164,19,1980,Iowa,IA,1318,509,676,0.5704641342163086,0.4295358657836914,18251.048828125,1.825104832649231
165,20,1980,Kansas,KS,980,326,567,0.6349384188652039,0.36506158113479614,18951.767578125,1.8951767683029175
166,21,1980,Kentucky,KY,1295,616,635,0.5075939297676086,0.49240607023239136,15571.9443359375,1.557194471359253
167,22,1980,Louisiana,LA,1549,708,793,0.528314471244812,0.471685528755188,16712.515625,1.6712515354156494
168,23,1980,Maine,ME,523,221,239,0.519565224647522,0.480434775352478,15893.7412109375,1.58937406539917
169,24,1980,Maryland,MD,1540,726,681,0.4840085208415985,0.5159914493560791,21301.458984375,2.130145788192749
170,25,1980,Massachusetts,MA,2524,1054,1058,0.5009469985961914,0.499053031206131,20187.544921875,2.018754482269287
171,26,1980,Michigan,MI,3910,1662,1915,0.5353648066520691,0.4646351635456085,19639.158203125,1.9639158248901367
172,27,1980,Minnesota,MN,2052,954,873,0.47783252596855164,0.5221675038337708,19528.71875,1.9528719186782837
173,28,1980,Mississippi,MS,893,429,441,0.5068965554237366,0.4931034445762634,13342.2119140625,1.3342212438583374
174,29,1980,Missouri,MO,2100,931,1074,0.5356608629226685,0.46433916687965393,17754.072265625,1.7754071950912476
175,30,1980,Montana,MT,364,118,207,0.63692307472229,0.36307692527770996,17247.57421875,1.724757432937622
176,31,1980,Nebraska,NE,641,167,420,0.7155025601387024,0.2844974398612976,17441.794921875,1.7441794872283936
177,32,1980,Nevada,NV,248,67,155,0.6981981992721558,0.30180180072784424,22278.275390625,2.227827548980713
178,33,1980,New Hampshire,NH,384,109,222,0.670694887638092,0.32930514216423035,18755.642578125,1.8755642175674438
179,34,1980,New Jersey,NJ,2976,1147,1547,0.5742390751838684,0.425760954618454,22291.60546875,2.2291605472564697
180,35,1980,New Mexico,NM,457,168,251,0.5990453362464905,0.4009546637535095,15891.8369140625,1.5891836881637573
181,36,1980,New York,NY,6202,2728,2894,0.5147634148597717,0.48523658514022827,20973.94921875,2.0973949432373047
182,37,1980,North Carolina,NC,1856,876,915,0.5108878016471863,0.4891122281551361,15604.314453125,1.5604314804077148
183,38,1980,North Dakota,ND,302,79,194,0.7106227278709412,0.2893773019313812,15055.92578125,1.5055925846099854
184,39,1980,Ohio,OH,4284,1752,2207,0.5574640035629272,0.44253599643707275,19128.8515625,1.9128851890563965
185,40,1980,Oklahoma,OK,1150,402,696,0.6338797807693481,0.36612021923065186,18100.623046875,1.810062289237976
186,41,1980,Oregon,OR,1182,457,571,0.5554474592208862,0.44455254077911377,19256.427734375,1.925642728805542
187,42,1980,Pennsylvania,PA,4562,1938,2262,0.5385714173316956,0.46142858266830444,19203.11328125,1.9203113317489624
188,44,1980,Rhode Island,RI,416,198,155,0.4390934705734253,0.5609065294265747,18426.228515625,1.8426228761672974
189,45,1980,South Carolina,SC,894,430,442,0.5068807601928711,0.4931192696094513,14743.6494140625,1.474364995956421
190,46,1980,South Dakota,SD,328,104,198,0.6556291580200195,0.34437087178230286,15372.0107421875,1.5372010469436646
191,47,1980,Tennessee,TN,1618,783,788,0.5015913248062134,0.49840864539146423,15726.177734375,1.572617769241333
192,48,1980,Texas,TX,4542,1881,2511,0.5717213153839111,0.42827868461608887,18812.767578125,1.8812767267227173
193,49,1980,Utah,UT,604,124,440,0.7801418304443359,0.21985815465450287,16186.9765625,1.6186976432800293
194,50,1980,Vermont,VT,213,82,95,0.5367231369018555,0.46327683329582214,16400.23828125,1.6400238275527954
195,51,1980,Virginia,VA,1866,752,990,0.5683122873306274,0.43168771266937256,19315.455078125,1.9315454959869385
196,53,1980,Washington,WA,1742,650,865,0.5709571242332458,0.42904290556907654,20625.494140625,2.062549352645874
197,54,1980,West Virginia,WV,738,367,334,0.476462185382843,0.523537814617157,15457.6962890625,1.5457695722579956
198,55,1980,Wisconsin,WI,2273,982,1089,0.5258329510688782,0.4741670787334442,19245.00390625,1.9245003461837769
199,56,1980,Wyoming,WY,177,49,111,0.6937500238418579,0.3062500059604645,22312.55078125,2.231255054473877
200,1,1984,Alabama,AL,1442,552,873,0.6126315593719482,0.38736841082572937,16313.673828125,1.6313673257827759
